longitude,latitude,treeid,botanic,common,yearinv,dbh
-76.480705,42.453311,1,Gleditsia triacanthos,Honeylocust,2019,17
-76.480582,42.453374,2,Tilia cordata,Littleleaf Linden,2019,20.5
-76.480641,42.453431,3,Gleditsia triacanthos,Honeylocust,2019,19
-76.480587,42.453497,4,Tilia cordata,Littleleaf Linden,2019,24.5
-76.480619,42.453583,5,Gleditsia triacanthos,Honeylocust,2019,16.5
-76.480920,42.452874,9,Acer rubrum,Red Maple,2019,9.5
-76.480918,42.452757,10,Acer rubrum,Red Maple,2019,8
-76.480829,42.453124,11,Acer saccharum,Sugar Maple,2019,12
-76.480632,42.453151,12,Acer saccharum,Sugar Maple,2019,23
-76.480843,42.453034,14,Fraxinus excelsior,European Ash,2019,22.5
-76.481062,42.456438,15,Platanus x acerifolia,London Planetree,2019,22
-76.480866,42.456485,16,Platanus x acerifolia,London Planetree,2019,18
-76.480700,42.456522,17,Platanus x acerifolia,London Planetree,2019,29
-76.480502,42.456566,18,Platanus x acerifolia,London Planetree,2019,24.5
-76.480299,42.456615,19,Platanus x acerifolia,London Planetree,2019,10.5
-76.480110,42.456662,20,Platanus x acerifolia,London Planetree,2019,17
-76.479189,42.456847,25,Platanus x acerifolia,London Planetree,2019,7
-76.478524,42.456911,27,Platanus x acerifolia,London Planetree,2019,9.5
-76.480701,42.456292,52,Betula populifolia,Gray Birch,2019,18.5
-76.480830,42.456218,53,Malus species,Crabapple Species,2019,9
-76.480812,42.456183,54,Malus species,Crabapple Species,2019,8.5
-76.480951,42.456258,91,Fraxinus pennsylvanica,Green Ash,2019,14
-76.480182,42.452010,92,Acer rubrum,Red Maple,2019,17.5
-76.480078,42.452211,94,Acer saccharum,Sugar Maple,2019,11
-76.480341,42.452439,95,Quercus rubra,Northern Red Oak,2019,6.5
-76.480548,42.452349,96,Quercus rubra,Northern Red Oak,2019,7.5
-76.481989,42.457581,99,Acer rubrum,Red Maple,2019,5.5
-76.481981,42.457558,100,Acer rubrum,Red Maple,2019,4
-76.481947,42.457545,101,Acer rubrum,Red Maple,2019,3.5
-76.481917,42.457461,102,Fraxinus americana,White Ash,2019,7
-76.481909,42.457419,103,Fraxinus americana,White Ash,2019,8.5
-76.481856,42.457309,104,Acer rubrum,Red Maple,2019,6
-76.481873,42.457278,105,Acer rubrum,Red Maple,2019,5
-76.481838,42.457209,106,Acer rubrum,Red Maple,2019,3.5
-76.479379,42.450964,109,Quercus rubra,Northern Red Oak,2009,9
-76.479095,42.450964,110,Quercus rubra,Northern Red Oak,2009,12
-76.478948,42.450958,111,Quercus rubra,Northern Red Oak,2009,13
-76.478753,42.450933,112,Quercus rubra,Northern Red Oak,2009,9
-76.478604,42.450928,113,Quercus rubra,Northern Red Oak,2009,10
-76.478553,42.451094,114,Quercus alba,White Oak,2009,30
-76.478570,42.451070,115,Quercus alba,White Oak,2009,30
-76.478587,42.451163,116,Tsuga canadensis,Eastern Hemlock,2009,15
-76.478821,42.451155,117,Quercus rubra,Northern Red Oak,2009,29
-76.478908,42.451125,118,Quercus alba,White Oak,2009,37
-76.479017,42.451175,119,Liquidambar styraciflua,Sweetgum,2009,11
-76.479119,42.451173,120,Tsuga canadensis,Eastern Hemlock,2009,11
-76.479181,42.451184,121,Cornus florida,Flowering Dogwood,2009,7
-76.479266,42.451192,122,Cornus florida,Flowering Dogwood,2009,5
-76.479267,42.451137,123,Acer rubrum,Red Maple,2009,2
-76.479385,42.451181,124,Picea glauca,White Spruce,2009,5
-76.479534,42.451159,125,Cornus florida,Flowering Dogwood,2009,4
-76.479532,42.451131,126,Acer saccharum,Sugar Maple,2009,14
-76.479523,42.451111,127,Quercus alba,White Oak,2009,15
-76.479531,42.451058,128,Cercis canadensis,Eastern Redbud,2009,3
-76.479521,42.451027,129,Quercus alba,White Oak,2009,21
-76.480589,42.455061,131,Quercus rubra,Northern Red Oak,2019,47
-76.480958,42.454769,134,Acer saccharum,Sugar Maple,2019,8.5
-76.480907,42.454776,135,Juglans nigra,Black Walnut,2019,17
-76.480865,42.454774,136,Juglans nigra,Black Walnut,2019,15
-76.480768,42.454776,138,Picea abies,Norway Spruce,2019,22.5
-76.480719,42.454775,139,Picea abies,Norway Spruce,2019,14
-76.480635,42.454787,141,Picea abies,Norway Spruce,2019,20.5
-76.481155,42.454474,143,Juniperus chinensis,Chinese Juniper,2019,21.5
-76.481026,42.454451,144,Pinus strobus,Eastern White Pine,2019,29
-76.481096,42.454405,146,Pseudotsuga menziesii,Douglas Fir,2019,11
-76.481140,42.454391,147,Picea abies,Norway Spruce,2019,15
-76.481061,42.454380,148,Picea abies,Norway Spruce,2019,14.5
-76.481096,42.454358,149,Picea abies,Norway Spruce,2019,22.5
-76.480920,42.454188,151,Pseudotsuga menziesii,Douglas Fir,2019,18
-76.480877,42.454175,152,Picea abies,Norway Spruce,2019,14.5
-76.480886,42.454147,153,Pseudotsuga menziesii,Douglas Fir,2019,15.5
-76.480638,42.453915,156,Prunus serotina,Black Cherry,2019,20.5
-76.480671,42.453878,157,Picea abies,Norway Spruce,2019,20.5
-76.480604,42.453879,158,Picea abies,Norway Spruce,2019,18.5
-76.480414,42.453887,159,Picea abies,Norway Spruce,2019,17
-76.480544,42.453714,160,Quercus rubra,Northern Red Oak,2019,38
-76.480202,42.452383,163,Quercus alba,White Oak,2019,30
-76.480305,42.452341,165,Quercus alba,White Oak,2019,29
-76.480399,42.452401,166,Quercus alba,White Oak,2019,10
-76.480469,42.452287,168,Acer saccharum,Sugar Maple,2019,10
-76.480487,42.452202,170,Acer saccharum,Sugar Maple,2019,10
-76.480728,42.452261,172,Quercus bicolor,Swamp White Oak,2019,15
-76.480525,42.452093,175,Liquidambar styraciflua,Sweetgum,2019,5.5
-76.480641,42.452099,176,Quercus alba,White Oak,2019,29.5
-76.480664,42.452072,177,Quercus alba,White Oak,2019,29
-76.480688,42.452106,178,Carya glabra,Pignut Hickory,2019,14
-76.480823,42.452131,179,Quercus montana,Chestnut Oak,2019,14
-76.480894,42.452146,180,Fraxinus pennsylvanica,Green Ash,2019,10.5
-76.480980,42.452111,181,Quercus coccinea,Scarlet Oak,2019,7.5
-76.481299,42.456618,182,Platanus x acerifolia,London Planetree,2019,26
-76.481225,42.456489,183,Malus species,Crabapple Species,2019,8
-76.481140,42.456482,184,Malus species,Crabapple Species,2019,12
-76.481048,42.456179,185,Prunus sargentii,Sargent Cherry,2019,8
-76.481076,42.456132,186,Prunus sargentii,Sargent Cherry,2019,8
-76.481017,42.456122,187,Prunus sargentii,Sargent Cherry,2019,5.5
-76.480926,42.456145,189,Malus species,Crabapple Species,2019,8.5
-76.477906,42.454825,317,Gleditsia triacanthos,Honeylocust,2019,13.5
-76.477632,42.454752,318,Gleditsia triacanthos,Honeylocust,2019,12.5
-76.477580,42.454715,319,Gleditsia triacanthos,Honeylocust,2019,7
-76.477425,42.454637,320,Fagus grandifolia,American Beech,2019,22
-76.477342,42.454674,321,Platanus x acerifolia,London Planetree,2019,7.5
-76.477616,42.454541,324,Gleditsia triacanthos,Honeylocust,2019,18
-76.477621,42.454625,325,Gleditsia triacanthos,Honeylocust,2019,17.5
-76.477676,42.454692,326,Gleditsia triacanthos,Honeylocust,2019,7
-76.477899,42.454704,327,Gleditsia triacanthos,Honeylocust,2019,8
-76.477941,42.454768,328,Gleditsia triacanthos,Honeylocust,2019,7.5
-76.478586,42.453833,337,Gleditsia triacanthos,Honeylocust,2019,6.5
-76.478680,42.453752,338,Pinus strobus,Eastern White Pine,2019,6.5
-76.478714,42.453715,339,Pinus strobus,Eastern White Pine,2019,4.5
-76.478760,42.453656,340,Pinus strobus,Eastern White Pine,2019,13
-76.478920,42.453803,342,Gleditsia triacanthos,Honeylocust,2019,6.5
-76.478854,42.453795,343,Gleditsia triacanthos,Honeylocust,2019,8
-76.478786,42.453793,344,Gleditsia triacanthos,Honeylocust,2019,5.5
-76.479115,42.454024,346,Gleditsia triacanthos,Honeylocust,2019,9
-76.479109,42.453971,347,Gleditsia triacanthos,Honeylocust,2019,6
-76.479094,42.453907,348,Gleditsia triacanthos,Honeylocust,2019,8
-76.479071,42.454147,349,Gleditsia triacanthos,Honeylocust,2019,10.5
-76.479276,42.454058,350,Crataegus phaenopyrum,Washington Hawthorn,2019,10.5
-76.479226,42.454103,351,Prunus subhirtella,Higan Cherry,2019,13.5
-76.478678,42.453444,352,Gymnocladus dioicus,Kentucky Coffeetree,2019,7
-76.478523,42.453346,353,Platanus x acerifolia,London Planetree,2019,9.5
-76.478816,42.453199,354,Gymnocladus dioicus,Kentucky Coffeetree,2019,6.5
-76.478823,42.453346,355,Platanus x acerifolia,London Planetree,2019,26.5
-76.478915,42.453378,356,Platanus x acerifolia,London Planetree,2019,7.5
-76.478907,42.453514,357,Platanus x acerifolia,London Planetree,2019,10
-76.478534,42.453481,358,Gymnocladus dioicus,Kentucky Coffeetree,2019,7.5
-76.478373,42.453415,360,Gleditsia triacanthos,Honeylocust,2019,6
-76.478410,42.453571,361,Gleditsia triacanthos,Honeylocust,2019,4.5
-76.478405,42.453649,362,Gleditsia triacanthos,Honeylocust,2019,6
-76.478260,42.453712,363,Quercus rubra,Northern Red Oak,2019,6.5
-76.478240,42.453618,364,Gymnocladus dioicus,Kentucky Coffeetree,2019,4
-76.478274,42.453347,365,Gleditsia triacanthos,Honeylocust,2019,5.5
-76.478059,42.453749,366,Acer rubrum,Red Maple,2019,6
-76.477927,42.453841,367,Acer rubrum,Red Maple,2019,5.5
-76.477884,42.454009,368,Quercus rubra,Northern Red Oak,2019,7
-76.477731,42.454180,371,Pinus strobus,Eastern White Pine,2019,4.5
-76.477589,42.454043,373,Platanus x acerifolia,London Planetree,2019,8.5
-76.477628,42.453963,375,Acer rubrum,Red Maple,2019,6
-76.484929,42.445394,378,Pyrus calleryana,Callery Pear,2019,18
-76.484929,42.445490,379,Pyrus calleryana,Callery Pear,2019,17
-76.484831,42.445514,380,Magnolia x soulangiana,Saucer Magnolia,2019,9.5
-76.484795,42.445534,381,Cornus kousa,Kousa Dogwood,2019,8
-76.484763,42.445556,382,Cornus kousa,Kousa Dogwood,2019,7
-76.484728,42.445571,383,Cornus kousa,Kousa Dogwood,2019,7
-76.484927,42.445654,384,Pyrus calleryana,Callery Pear,2019,13.5
-76.484901,42.445771,385,Liquidambar styraciflua,Sweetgum,2019,22.5
-76.484758,42.445886,386,Cornus kousa,Kousa Dogwood,2019,6.5
-76.484929,42.445873,389,Pyrus calleryana,Callery Pear,2019,15.5
-76.484923,42.446031,390,Pyrus calleryana,Callery Pear,2019,15
-76.484935,42.446115,391,Pyrus calleryana,Callery Pear,2019,12.5
-76.485172,42.446130,392,Pyrus calleryana,Callery Pear,2019,16
-76.485177,42.446056,393,Pyrus calleryana,Callery Pear,2019,12.5
-76.485192,42.446013,394,Liquidambar styraciflua,Sweetgum,2019,18.5
-76.485164,42.445872,395,Pyrus calleryana,Callery Pear,2019,14
-76.485162,42.445558,398,Pyrus calleryana,Callery Pear,2019,13.5
-76.485166,42.445491,399,Pyrus calleryana,Callery Pear,2019,14
-76.485171,42.445392,400,Pyrus calleryana,Callery Pear,2019,16
-76.486473,42.446936,405,Acer saccharum,Sugar Maple,2019,16.5
-76.486536,42.446892,406,Acer saccharum,Sugar Maple,2019,21.5
-76.486671,42.446911,407,Acer saccharum,Sugar Maple,2019,19.5
-76.486765,42.446971,408,Acer saccharum,Sugar Maple,2019,18.5
-76.487427,42.446738,409,Ulmus parvifolia,Chinese Elm,2019,33.5
-76.487303,42.446846,410,Carya ovata,Shagbark Hickory,2019,9.5
-76.486805,42.447322,413,Pinus strobus,Eastern White Pine,2019,11
-76.486761,42.447335,414,Pinus strobus,Eastern White Pine,2019,16.5
-76.486776,42.447296,415,Pinus strobus,Eastern White Pine,2019,15.5
-76.486196,42.447358,416,Pinus strobus,Eastern White Pine,2019,13.5
-76.486298,42.447384,417,Pinus strobus,Eastern White Pine,2019,13.5
-76.486226,42.447451,418,Pinus strobus,Eastern White Pine,2019,10
-76.486366,42.447448,419,Pinus strobus,Eastern White Pine,2019,34.5
-76.486439,42.447380,420,Pinus strobus,Eastern White Pine,2019,12
-76.486634,42.447449,421,Pinus strobus,Eastern White Pine,2019,44.5
-76.486740,42.447423,422,Pinus strobus,Eastern White Pine,2019,13
-76.486783,42.447467,423,Pinus strobus,Eastern White Pine,2019,13.5
-76.486864,42.447441,425,Pinus strobus,Eastern White Pine,2019,10.5
-76.486889,42.447477,426,Pinus strobus,Eastern White Pine,2019,10.5
-76.487000,42.447679,427,Pinus strobus,Eastern White Pine,2019,11.5
-76.487044,42.447708,428,Pinus strobus,Eastern White Pine,2019,10.5
-76.486717,42.447764,430,Pinus strobus,Eastern White Pine,2019,27
-76.486623,42.447723,431,Pinus strobus,Eastern White Pine,2019,28.5
-76.486516,42.447788,432,Pinus strobus,Eastern White Pine,2019,14.5
-76.486399,42.447756,434,Pinus strobus,Eastern White Pine,2019,28
-76.486425,42.448521,435,Pinus strobus,Eastern White Pine,2019,36.5
-76.486939,42.448569,436,Acer saccharum,Sugar Maple,2019,11
-76.487446,42.449003,437,Thuja occidentalis,Northern White Cedar,2019,29.5
-76.487419,42.449032,438,Thuja occidentalis,Northern White Cedar,2019,16
-76.487460,42.449061,439,Thuja occidentalis,Northern White Cedar,2019,25.5
-76.487463,42.449109,441,Cornus kousa,Kousa Dogwood,2019,10.5
-76.487426,42.449149,443,Magnolia x soulangiana,Saucer Magnolia,2019,13
-76.487388,42.449082,444,Magnolia x soulangiana,Saucer Magnolia,2019,16.5
-76.487321,42.449123,445,Magnolia x soulangiana,Saucer Magnolia,2019,12.5
-76.487327,42.449050,446,Magnolia x soulangiana,Saucer Magnolia,2019,15.5
-76.487276,42.448953,447,Picea glauca,White Spruce,2019,14
-76.487184,42.448893,448,Acer x freemanii,Freeman Maple,2019,12.5
-76.487145,42.448976,449,Fagus grandifolia,American Beech,2019,11
-76.487084,42.448985,450,Fagus grandifolia,American Beech,2019,12.5
-76.487152,42.449062,451,Fagus grandifolia,American Beech,2019,9
-76.487109,42.449047,452,Fagus grandifolia,American Beech,2019,10
-76.486703,42.449074,454,Quercus coccinea,Scarlet Oak,2019,26.5
-76.486616,42.449065,455,Carya glabra,Pignut Hickory,2019,16
-76.487027,42.449334,456,Quercus alba,White Oak,2019,24
-76.487165,42.449261,457,Quercus rubra,Northern Red Oak,2019,27
-76.487097,42.449211,458,Quercus palustris,Pin Oak,2019,24
-76.487088,42.449124,459,Quercus velutina,Black Oak,2019,27.5
-76.487183,42.449167,460,Quercus rubra,Northern Red Oak,2019,29
-76.487297,42.449282,461,Quercus robur,English Oak,2019,21.5
-76.487462,42.449367,465,Cercis canadensis,Eastern Redbud,2019,11
-76.487188,42.449683,466,Ginkgo biloba,Ginkgo,2019,3.5
-76.487219,42.449712,467,Ginkgo biloba,Ginkgo,2019,5
-76.487347,42.449625,468,Prunus subhirtella,Higan Cherry,2019,21
-76.487456,42.449694,469,Crataegus phaenopyrum,Washington Hawthorn,2019,7.5
-76.487428,42.449729,470,Crataegus phaenopyrum,Washington Hawthorn,2019,6.5
-76.487381,42.449717,471,Crataegus phaenopyrum,Washington Hawthorn,2019,8
-76.487321,42.449755,472,Cornus mas,Corneliancherry,2019,22
-76.487241,42.449768,473,Cornus mas,Corneliancherry,2019,13.5
-76.487191,42.449782,474,Cornus mas,Corneliancherry,2019,16.5
-76.487200,42.449841,475,Cornus mas,Corneliancherry,2019,13.5
-76.487146,42.449811,476,Cornus mas,Corneliancherry,2019,15.5
-76.487122,42.449843,477,Cornus mas,Corneliancherry,2019,16.5
-76.487123,42.449886,478,Cornus mas,Corneliancherry,2019,16.5
-76.487157,42.449910,479,Cornus mas,Corneliancherry,2019,12
-76.487244,42.449869,480,Malus species,Crabapple Species,2019,7.5
-76.487223,42.449896,481,Cornus florida,Flowering Dogwood,2019,9
-76.487205,42.449931,482,Cornus mas,Corneliancherry,2019,18.5
-76.487162,42.449992,483,Acer platanoides,Norway Maple,2019,32.5
-76.486949,42.449962,488,Ailanthus altissima,Tree of Heaven,2019,39
-76.486812,42.449936,489,Acer x freemanii,Freeman Maple,2019,10.5
-76.486689,42.449896,490,Aesculus x carnea,Red Horsechestnut,2019,26
-76.486494,42.450044,492,Acer saccharinum,Silver Maple,2019,54.5
-76.486678,42.450047,493,Acer saccharinum,Silver Maple,2019,48
-76.486893,42.450050,495,Morus alba,White Mulberry,2019,32.5
-76.486849,42.450142,496,Tsuga canadensis,Eastern Hemlock,2019,26
-76.486996,42.450253,500,Picea abies,Norway Spruce,2019,18.5
-76.486982,42.450276,501,Picea abies,Norway Spruce,2019,24.5
-76.487005,42.450298,502,Picea abies,Norway Spruce,2019,14
-76.486896,42.450378,507,Cornus mas,Corneliancherry,2019,16.5
-76.486496,42.450125,514,Aesculus hippocastanum,Common Horsechestnut,2019,17
-76.486401,42.450278,515,Larix kaempferi,Japanese Larch,2019,30.5
-76.486476,42.450384,516,Larix kaempferi,Japanese Larch,2019,17.5
-76.486349,42.450451,517,Betula nigra,River Birch,2019,25
-76.486593,42.450334,518,Malus species,Crabapple Species,2019,3.5
-76.486761,42.450439,522,Malus species,Crabapple Species,2019,12.5
-76.486728,42.450493,523,Malus species,Crabapple Species,2019,13.5
-76.486829,42.450479,524,Malus species,Crabapple Species,2019,13
-76.486780,42.450570,528,Pseudotsuga menziesii,Douglas Fir,2019,15
-76.486605,42.450523,529,Pseudotsuga menziesii,Douglas Fir,2019,17
-76.486622,42.450473,530,Pseudotsuga menziesii,Douglas Fir,2019,18
-76.486527,42.450466,531,Pseudotsuga menziesii,Douglas Fir,2019,15
-76.486495,42.450510,532,Pseudotsuga menziesii,Douglas Fir,2019,20
-76.486515,42.450546,533,Pseudotsuga menziesii,Douglas Fir,2019,16
-76.486572,42.450563,534,Pseudotsuga menziesii,Douglas Fir,2019,17.5
-76.486599,42.450642,540,Pseudotsuga menziesii,Douglas Fir,2019,13.5
-76.486780,42.450654,541,Pseudotsuga menziesii,Douglas Fir,2019,26
-76.486763,42.450708,542,Malus species,Crabapple Species,2019,4
-76.486802,42.450737,543,Malus species,Crabapple Species,2019,5
-76.486753,42.450760,544,Malus species,Crabapple Species,2019,2.5
-76.486777,42.450815,545,Pseudotsuga menziesii,Douglas Fir,2019,24
-76.486598,42.450811,547,Malus species,Crabapple Species,2019,9
-76.486573,42.450876,548,Malus species,Crabapple Species,2019,9.5
-76.486629,42.451020,549,Acer platanoides,Norway Maple,2019,26
-76.486606,42.451017,550,Acer platanoides,Norway Maple,2019,28.5
-76.485945,42.450525,551,Quercus rubra,Northern Red Oak,2019,23
-76.485912,42.450473,552,Quercus rubra,Northern Red Oak,2019,30.5
-76.485933,42.450134,554,Picea abies,Norway Spruce,2019,10.5
-76.486055,42.450062,555,Catalpa speciosa,Northern Catalpa,2019,30
-76.486126,42.449980,556,Acer rubrum,Red Maple,2019,9.5
-76.485983,42.449976,557,Acer x freemanii,Freeman Maple,2019,27.5
-76.485857,42.450023,558,Carya ovata,Shagbark Hickory,2019,7.5
-76.485876,42.449762,559,Acer rubrum,Red Maple,2019,8
-76.485973,42.449738,560,Ulmus parvifolia,Chinese Elm,2019,14
-76.486058,42.449773,561,Acer rubrum,Red Maple,2019,12
-76.485982,42.449666,562,Acer saccharum,Sugar Maple,2019,9
-76.486077,42.449612,563,Quercus alba,White Oak,2019,21.5
-76.486013,42.449466,564,Acer saccharum,Sugar Maple,2019,12
-76.486000,42.449377,565,Nyssa sylvatica,Black Tupelo,2019,6.5
-76.485940,42.449296,568,Quercus rubra,Northern Red Oak,2019,20
-76.485973,42.448803,575,Fraxinus americana,White Ash,2019,6.5
-76.485883,42.448723,576,Acer rubrum,Red Maple,2019,8.5
-76.485832,42.448575,577,Crataegus phaenopyrum,Washington Hawthorn,2019,6.5
-76.485779,42.448576,578,Crataegus phaenopyrum,Washington Hawthorn,2019,6
-76.485782,42.448533,579,Crataegus phaenopyrum,Washington Hawthorn,2019,6
-76.485801,42.447945,591,Quercus bicolor,Swamp White Oak,2019,37.5
-76.485840,42.447852,592,Sorbus alnifolia,Korean Mountainash,2019,5.5
-76.485606,42.447796,598,Cercis canadensis,Eastern Redbud,2019,11
-76.485230,42.447364,600,Malus species,Crabapple Species,2019,10
-76.485233,42.447401,601,Malus species,Crabapple Species,2019,9.5
-76.485173,42.447376,602,Malus species,Crabapple Species,2019,11
-76.485199,42.447249,606,Acer x freemanii,Freeman Maple,2019,12
-76.485210,42.447165,607,Malus species,Crabapple Species,2019,11.5
-76.485160,42.447143,608,Malus species,Crabapple Species,2019,11.5
-76.484938,42.446871,610,Gleditsia triacanthos,Honeylocust,2019,6.5
-76.484899,42.446854,611,Gleditsia triacanthos,Honeylocust,2019,5.5
-76.484868,42.446816,612,Gleditsia triacanthos,Honeylocust,2019,1.5
-76.484819,42.446787,613,Gleditsia triacanthos,Honeylocust,2019,7
-76.484900,42.446790,614,Gleditsia triacanthos,Honeylocust,2022,0000
-76.484926,42.446826,615,Gleditsia triacanthos,Honeylocust,2022,0000
-76.485143,42.446855,616,Platanus x acerifolia,London Planetree,2019,11
-76.485217,42.446916,617,Gymnocladus dioicus,Kentucky Coffeetree,2019,17.5
-76.485340,42.446823,618,Gleditsia triacanthos,Honeylocust,2019,20.5
-76.485458,42.446845,620,Pinus nigra,Austrian Pine,2019,23
-76.485539,42.446933,621,Acer rubrum,Red Maple,2019,8
-76.485626,42.446889,622,Pinus nigra,Austrian Pine,2019,21.5
-76.485733,42.446943,623,Acer rubrum,Red Maple,2019,14
-76.485804,42.446894,624,Pinus strobus,Eastern White Pine,2019,16.5
-76.485835,42.446941,625,Pinus strobus,Eastern White Pine,2019,12.5
-76.485897,42.446921,626,Pinus strobus,Eastern White Pine,2019,15
-76.485856,42.446859,627,Pinus strobus,Eastern White Pine,2019,13
-76.485929,42.446857,628,Pinus strobus,Eastern White Pine,2019,9
-76.485915,42.446211,629,Quercus rubra,Northern Red Oak,2019,10
-76.485679,42.446192,632,Tsuga canadensis,Eastern Hemlock,2019,9.5
-76.485717,42.446175,633,Tsuga canadensis,Eastern Hemlock,2019,9.5
-76.485637,42.446204,635,Pinus strobus,Eastern White Pine,2019,9.5
-76.485600,42.446217,636,Pinus strobus,Eastern White Pine,2019,10.5
-76.485688,42.446161,637,Tilia cordata,Littleleaf Linden,2019,26
-76.485487,42.446226,638,Tilia cordata,Littleleaf Linden,2019,27.5
-76.485562,42.446103,639,Chamaecyparis pisifera,Sawara Falsecypress,2019,2.5
-76.485551,42.446107,640,Chamaecyparis pisifera,Sawara Falsecypress,2019,2
-76.485774,42.446057,641,Quercus alba,White Oak,2019,36.5
-76.485687,42.446104,643,Pinus strobus,Eastern White Pine,2019,6.5
-76.485658,42.446123,644,Acer palmatum,Japanese Maple,2019,5
-76.485839,42.446019,647,Cercis canadensis,Eastern Redbud,2019,5
-76.485921,42.446065,652,Acer saccharum,Sugar Maple,2019,8.5
-76.485940,42.446118,654,Acer saccharum,Sugar Maple,2019,9
-76.485938,42.446135,655,Tsuga canadensis,Eastern Hemlock,2019,6.5
-76.485925,42.446146,656,Tsuga canadensis,Eastern Hemlock,2019,4.5
-76.485914,42.446157,657,Tsuga canadensis,Eastern Hemlock,2019,4.5
-76.485893,42.446171,658,Tsuga canadensis,Eastern Hemlock,2019,11.5
-76.485571,42.446031,669,Juglans nigra,Black Walnut,2019,24.5
-76.485534,42.446019,670,Liquidambar styraciflua,Sweetgum,2019,11.5
-76.485512,42.446031,671,Cercis canadensis,Eastern Redbud,2019,6.5
-76.485385,42.446198,675,Cercis canadensis,Eastern Redbud,2019,10.5
-76.485340,42.446200,676,Cornus mas,Corneliancherry,2019,18
-76.485358,42.446171,677,Chamaecyparis pisifera,Sawara Falsecypress,2019,2
-76.485315,42.446169,678,Cercis canadensis,Eastern Redbud,2019,20
-76.485304,42.446107,682,Carya ovata,Shagbark Hickory,2019,3
-76.485412,42.446045,683,Juglans nigra,Black Walnut,2019,33
-76.485271,42.446047,686,Phellodendron amurense,Amur Corktree,2019,11
-76.485276,42.446290,688,Cornus florida,Flowering Dogwood,2019,12
-76.485326,42.446342,691,Cornus kousa,Kousa Dogwood,2019,20
-76.485147,42.446291,693,Platanus x acerifolia,London Planetree,2019,14
-76.485144,42.446357,694,Platanus x acerifolia,London Planetree,2019,8.5
-76.485140,42.446485,695,Platanus x acerifolia,London Planetree,2019,12.5
-76.485240,42.446486,696,Quercus rubra,Northern Red Oak,2019,27.5
-76.485378,42.446435,697,Cornus kousa,Kousa Dogwood,2019,9.5
-76.485383,42.446610,700,Cornus florida,Flowering Dogwood,2019,9
-76.485241,42.446572,702,Quercus rubra,Northern Red Oak,2019,25.5
-76.484948,42.446515,703,Platanus x acerifolia,London Planetree,2019,8
-76.484948,42.446445,704,Platanus x acerifolia,London Planetree,2019,10
-76.484948,42.446371,705,Platanus x acerifolia,London Planetree,2019,10.5
-76.484816,42.446052,706,Cornus florida,Flowering Dogwood,2019,5
-76.484805,42.446082,707,Cercis canadensis,Eastern Redbud,2019,6
-76.484739,42.446120,708,Liquidambar styraciflua,Sweetgum,2019,6.5
-76.484391,42.446097,713,Acer rubrum,Red Maple,2019,10.5
-76.484320,42.446043,714,Acer saccharum,Sugar Maple,2019,6
-76.484259,42.446018,715,Nyssa sylvatica,Black Tupelo,2019,3
-76.484204,42.446026,716,Quercus rubra,Northern Red Oak,2019,13.5
-76.484182,42.445952,718,Acer saccharum,Sugar Maple,2019,3.5
-76.484284,42.445850,719,Quercus bicolor,Swamp White Oak,2019,27
-76.484313,42.445791,720,Quercus bicolor,Swamp White Oak,2019,27.5
-76.484416,42.445913,722,Cornus florida,Flowering Dogwood,2019,5
-76.484352,42.445937,723,Prunus serrulata,Kwanzan Cherry,2019,14
-76.482800,42.447130,736,Quercus rubra,Northern Red Oak,2019,4
-76.482804,42.447280,738,Quercus rubra,Northern Red Oak,2019,4.5
-76.482813,42.447415,739,Quercus rubra,Northern Red Oak,2019,3.5
-76.482863,42.447110,740,Platanus x acerifolia,London Planetree,2019,11
-76.482865,42.447171,741,Platanus x acerifolia,London Planetree,2019,11.5
-76.482864,42.447241,742,Platanus x acerifolia,London Planetree,2019,12.5
-76.482868,42.447305,743,Platanus x acerifolia,London Planetree,2019,10
-76.482875,42.447395,744,Platanus x acerifolia,London Planetree,2019,7
-76.482877,42.447430,745,Platanus x acerifolia,London Planetree,2019,7.5
-76.482884,42.447528,746,Platanus x acerifolia,London Planetree,2019,9
-76.483023,42.447293,747,Cercidiphyllum japonicum,Katsura Tree,2019,24
-76.483028,42.447352,748,Cercidiphyllum japonicum,Katsura Tree,2019,23
-76.483032,42.447443,749,Stewartia species,Stewartia species,2019,12
-76.483026,42.447496,750,Quercus rubra,Northern Red Oak,2019,9.5
-76.482666,42.447417,753,Quercus rubra,Northern Red Oak,2019,8
-76.482568,42.447372,755,Platanus x acerifolia,London Planetree,2019,11
-76.482655,42.447305,756,Quercus rubra,Northern Red Oak,2019,7.5
-76.482651,42.447186,757,Quercus rubra,Northern Red Oak,2019,11
-76.482642,42.446952,759,Quercus rubra,Northern Red Oak,2019,8
-76.482560,42.447009,760,Platanus x acerifolia,London Planetree,2019,13
-76.482630,42.446743,761,Quercus rubra,Northern Red Oak,2019,25.5
-76.482625,42.446642,762,Quercus rubra,Northern Red Oak,2019,15.5
-76.482320,42.445815,771,Cornus florida,Flowering Dogwood,2019,5
-76.482369,42.445892,772,Quercus bicolor,Swamp White Oak,2019,49
-76.482413,42.445993,773,Pyrus calleryana,Callery Pear,2019,5.5
-76.482437,42.445992,774,Pyrus calleryana,Callery Pear,2019,7
-76.482489,42.446550,780,Malus species,Crabapple Species,2019,7
